キーワード,janコード,単価
【1】,4902370553413,8000
【2】,4902370553321,8000
【3】,4902370553291,8000
【4】,4902370553260,8000
【5】,4535506303936,8000
【6】,4902370553352,8000
【7】,4902370536485,8000
【8】,4902370540734,8000
【9】,4902370552409,8000
【10】,4549576094113,8000
【11】,4902370548433,8000
【12】,4902370537789,8000
【13】,4938833024404,8000
【14】,4902370552430,8000
【15】,4902370549454,8000
【16】,4902370545319,8000
【17】,4902370543964,8000
【18】,4902370547115,8000
【19】,4902370540437,8000
【20】,4902370550337,8000
【21】,4902370550542,8000
【22】,4902370550559,8000
【23】,4902370550979,8000
【24】,4902370550870,8000
【25】,4902370551150,8000
【26】,4902370551587,8000
【27】,4988602176490,8000
【28】,4902370549263,8000
【29】,4902370553550,8000
【30】,4988602179248,8000
【31】,4902370553611,8000
